N,P,K,ph,soil_type
60,35,152,3.79,Acidic
137,123,102,5.91,Loamy
86,16,154,4.48,Acidic
104,16,52,7.63,Alkaline
33,29,86,3.97,Acidic
123,95,20,6.78,Loamy
109,92,137,8.14,Alkaline
32,80,197,9.2,Alkaline
97,22,78,7.69,Alkaline
60,49,25,4.1,Acidic
9,115,65,4.03,Acidic
83,84,187,7.89,Alkaline
64,72,28,4.79,Acidic
76,144,27,6.18,Sandy
0,22,91,9.36,Alkaline
132,58,143,8.42,Alkaline
79,116,179,8.58,Alkaline
14,101,6,8.66,Alkaline
27,31,202,7.22,Clay
22,82,57,7.96,Alkaline
108,92,143,5.65,Loamy
106,58,19,9.49,Alkaline
112,91,205,5.18,Acidic
97,9,144,7.04,Clay
140,127,126,5.19,Acidic
138,58,127,4.17,Acidic
27,43,168,6.91,Clay
41,113,96,5.62,Sandy
98,136,27,7.0,Loamy
60,78,159,6.85,Clay
122,69,92,6.75,Loamy
63,41,146,4.24,Acidic
30,71,186,6.14,Clay
80,115,103,8.37,Alkaline
9,129,31,5.39,Acidic
7,91,25,6.16,Sandy
58,51,53,6.46,Sandy
29,17,194,8.68,Alkaline
19,48,204,7.43,Clay
47,129,48,4.1,Acidic
129,123,48,8.69,Alkaline
36,135,132,8.49,Alkaline
128,130,193,8.02,Alkaline
131,142,174,6.3,Loamy
99,53,27,8.05,Alkaline
53,128,205,6.37,Clay
121,82,133,7.92,Alkaline
24,134,129,8.78,Alkaline
130,107,40,8.84,Alkaline
8,109,59,6.23,Sandy
33,124,114,8.66,Alkaline
42,35,20,4.11,Acidic
73,72,93,4.11,Acidic
93,41,22,6.79,Sandy
21,28,42,7.41,Sandy
69,48,199,4.42,Acidic
129,87,24,6.33,Loamy
93,45,23,4.07,Acidic
31,46,17,7.11,Sandy
105,112,21,8.63,Alkaline
0,44,34,7.93,Alkaline
71,52,47,5.77,Sandy
49,117,52,9.46,Alkaline
140,88,47,7.48,Loamy
14,8,97,8.39,Alkaline
52,112,118,7.52,Alkaline
7,64,70,9.44,Alkaline
73,118,123,8.43,Alkaline
45,9,57,6.62,Sandy
68,110,76,5.7,Sandy
113,10,82,7.59,Alkaline
122,18,166,7.04,Clay
138,130,78,7.28,Loamy
116,144,76,5.56,Loamy
42,66,203,6.07,Clay
19,31,17,6.85,Sandy
20,58,188,8.54,Alkaline
81,94,63,8.08,Alkaline
56,16,36,4.21,Acidic
73,140,87,4.97,Acidic
97,78,124,3.66,Acidic
109,30,58,3.55,Acidic
114,140,6,4.85,Acidic
41,49,122,8.3,Alkaline
67,88,41,8.93,Alkaline
69,107,101,5.85,Sandy
77,128,107,6.88,Sandy
89,127,118,7.74,Alkaline
110,120,165,9.22,Alkaline
111,18,5,8.98,Alkaline
102,21,132,3.84,Acidic
18,17,107,4.99,Acidic
69,97,160,3.79,Acidic
62,67,149,7.2,Clay
74,37,61,7.76,Alkaline
103,33,74,5.35,Acidic
74,41,184,8.62,Alkaline
127,107,48,6.22,Loamy
55,28,179,9.49,Alkaline
21,137,145,3.5,Acidic
88,129,80,4.16,Acidic
18,57,162,5.31,Acidic
25,92,89,3.65,Acidic
22,102,70,8.19,Alkaline
46,118,57,3.82,Acidic
12,99,22,7.99,Alkaline
65,124,32,3.82,Acidic
72,77,136,5.02,Acidic
76,110,46,8.55,Alkaline
30,30,130,9.21,Alkaline
84,22,121,5.99,Clay
58,140,138,9.32,Alkaline
40,62,106,7.26,Sandy
111,97,141,6.0,Loamy
95,53,152,8.32,Alkaline
121,75,42,5.27,Acidic
104,69,200,5.09,Acidic
73,37,54,7.44,Sandy
131,54,64,5.84,Loamy
98,8,145,4.32,Acidic
125,123,123,3.9,Acidic
137,88,103,8.23,Alkaline
74,121,98,7.56,Alkaline
13,106,174,5.97,Clay
37,135,72,8.88,Alkaline
139,10,157,5.97,Clay
44,27,163,7.76,Alkaline
74,139,144,8.95,Alkaline
28,124,68,8.54,Alkaline
17,65,83,6.57,Sandy
19,104,193,7.58,Alkaline
13,69,57,5.98,Sandy
53,138,30,7.38,Sandy
30,28,193,5.05,Acidic
57,41,142,6.11,Clay
103,49,144,4.76,Acidic
127,104,154,3.73,Acidic
24,106,185,7.03,Clay
18,67,25,8.69,Alkaline
135,33,167,3.65,Acidic
2,105,75,4.68,Acidic
85,113,86,6.26,Sandy
8,100,159,7.5,Clay
93,14,64,4.53,Acidic
138,39,103,3.84,Acidic
19,59,51,6.61,Sandy
34,100,198,8.41,Alkaline
52,127,147,3.71,Acidic
109,16,28,5.6,Sandy
135,8,14,7.48,Sandy
3,110,124,4.28,Acidic
101,94,156,4.92,Acidic
46,71,92,6.71,Sandy
93,69,108,9.22,Alkaline
47,86,128,5.22,Acidic
90,109,189,6.43,Clay
83,88,38,5.9,Sandy
67,109,45,8.88,Alkaline
138,119,172,3.93,Acidic
124,32,15,6.9,Sandy
72,20,5,8.58,Alkaline
3,25,162,9.43,Alkaline
75,81,175,7.69,Alkaline
72,46,86,5.78,Sandy
76,58,30,5.97,Sandy
47,36,57,5.61,Sandy
101,118,129,7.12,Loamy
105,42,179,7.94,Alkaline
76,118,13,8.42,Alkaline
38,114,13,6.0,Sandy
57,107,133,7.8,Alkaline
18,81,203,9.0,Alkaline
87,144,176,9.02,Alkaline
112,57,63,7.72,Alkaline
76,125,188,7.32,Clay
76,7,110,6.69,Sandy
27,58,183,4.6,Acidic
65,44,129,4.24,Acidic
9,72,20,6.41,Sandy
125,118,42,4.46,Acidic
57,134,143,6.96,Clay
124,46,157,7.37,Clay
111,98,63,6.65,Loamy
83,105,33,3.72,Acidic
95,128,172,3.85,Acidic
32,6,12,4.18,Acidic
140,95,102,4.42,Acidic
46,63,138,9.44,Alkaline
111,102,177,5.57,Loamy
42,20,113,5.25,Acidic
7,20,185,3.81,Acidic
2,112,112,7.31,Sandy
124,27,153,7.41,Clay
11,46,61,4.55,Acidic
83,41,80,9.02,Alkaline
15,76,117,8.3,Alkaline
77,138,10,4.88,Acidic
58,120,195,6.42,Clay
62,10,128,6.25,Clay
48,36,138,5.59,Clay
50,42,57,8.41,Alkaline
32,41,136,4.16,Acidic
29,65,13,5.99,Sandy
75,81,73,6.07,Sandy
14,131,78,6.31,Sandy
81,90,115,8.67,Alkaline
91,11,204,4.81,Acidic
22,89,91,4.12,Acidic
93,10,8,7.21,Sandy
44,7,190,4.54,Acidic
61,141,41,3.95,Acidic
14,51,75,6.06,Sandy
45,89,10,4.82,Acidic
63,98,55,5.67,Sandy
74,27,103,5.06,Acidic
51,7,182,4.06,Acidic
87,133,100,6.86,Sandy
56,71,146,3.66,Acidic
82,75,15,9.3,Alkaline
65,135,14,5.55,Sandy
19,71,193,7.67,Alkaline
32,59,17,8.36,Alkaline
71,136,125,5.17,Acidic
24,35,166,7.99,Alkaline
45,70,64,8.49,Alkaline
72,105,183,4.95,Acidic
97,68,9,9.45,Alkaline
56,35,164,3.62,Acidic
86,121,16,4.8,Acidic
132,70,184,8.18,Alkaline
54,51,145,4.66,Acidic
60,26,89,7.69,Alkaline
88,98,186,8.63,Alkaline
7,87,121,9.26,Alkaline
15,50,126,6.35,Clay
115,93,186,9.33,Alkaline
60,123,45,5.97,Sandy
14,50,52,4.81,Acidic
130,5,55,6.58,Sandy
101,100,179,7.4,Loamy
53,65,182,6.25,Clay
13,109,122,6.9,Clay
35,85,100,6.0,Sandy
104,18,80,6.65,Sandy
81,49,50,9.22,Alkaline
66,81,104,6.5,Sandy
9,70,42,5.02,Acidic
48,36,96,8.05,Alkaline
110,100,145,5.53,Loamy
64,62,154,8.4,Alkaline
56,108,134,3.84,Acidic
26,60,97,5.49,Acidic
112,138,81,4.07,Acidic
132,71,17,4.01,Acidic
70,122,61,7.45,Sandy
82,42,166,5.81,Clay
56,135,151,8.73,Alkaline
119,116,141,6.6,Loamy
92,137,120,5.27,Acidic
14,58,99,7.83,Alkaline
110,38,165,7.24,Clay
100,43,159,8.3,Alkaline
118,116,177,7.36,Loamy
75,92,134,4.5,Acidic
19,52,83,7.52,Alkaline
130,53,61,5.85,Loamy
72,38,99,6.28,Sandy
121,104,61,9.03,Alkaline
40,139,148,5.66,Clay
129,22,111,7.17,Sandy
22,74,83,5.68,Sandy
22,118,138,4.07,Acidic
8,38,18,6.22,Sandy
12,55,31,7.08,Sandy
50,109,42,5.95,Sandy
63,97,151,5.84,Clay
51,73,169,8.42,Alkaline
37,93,131,3.68,Acidic
99,107,8,5.27,Acidic
50,140,62,8.37,Alkaline
136,87,141,9.02,Alkaline
140,15,117,5.97,Sandy
54,40,172,8.83,Alkaline
108,86,147,4.69,Acidic
43,42,8,4.83,Acidic
109,93,56,8.58,Alkaline
127,5,150,8.92,Alkaline
104,108,185,4.84,Acidic
9,69,191,3.86,Acidic
99,5,103,4.04,Acidic
108,129,186,5.07,Acidic
107,64,173,8.07,Alkaline
139,29,192,6.56,Clay
93,95,97,6.23,Loamy
62,142,121,7.0,Clay
83,54,8,8.84,Alkaline
24,144,89,4.04,Acidic
11,96,171,7.67,Alkaline
24,36,11,9.06,Alkaline
10,37,129,4.78,Acidic
63,30,155,8.53,Alkaline
125,46,89,7.69,Alkaline
49,65,67,3.59,Acidic
88,45,197,4.89,Acidic
98,134,127,7.14,Loamy
115,103,173,6.51,Loamy
95,102,93,6.67,Loamy
13,35,99,4.89,Acidic
0,119,123,7.55,Alkaline
24,52,48,5.1,Acidic
71,6,106,5.84,Sandy
68,143,49,5.71,Sandy
132,105,201,7.53,Alkaline
104,132,121,4.04,Acidic
22,63,55,4.73,Acidic
8,124,69,4.7,Acidic
117,42,58,4.15,Acidic
93,111,188,4.75,Acidic
32,25,76,7.14,Sandy
129,46,124,7.89,Alkaline
13,141,172,7.46,Clay
0,144,190,6.35,Clay
89,14,147,3.81,Acidic
88,137,23,9.25,Alkaline
89,37,14,4.51,Acidic
13,73,20,7.51,Alkaline
110,84,175,8.98,Alkaline
82,105,163,7.69,Alkaline
71,33,112,4.81,Acidic
129,138,20,5.39,Acidic
26,57,84,3.68,Acidic
73,128,32,7.18,Sandy
98,46,194,7.18,Clay
71,51,152,7.85,Alkaline
22,15,167,3.57,Acidic
67,87,191,8.41,Alkaline
116,113,13,7.93,Alkaline
105,31,108,4.35,Acidic
92,66,142,5.59,Loamy
64,135,49,7.33,Sandy
67,107,113,6.47,Sandy
127,48,147,4.19,Acidic
62,97,34,4.02,Acidic
112,34,52,8.19,Alkaline
89,123,172,4.44,Acidic
80,33,95,4.53,Acidic
102,34,95,8.49,Alkaline
115,108,78,7.17,Loamy
12,114,48,7.13,Sandy
123,36,178,6.38,Clay
87,142,138,6.91,Clay
10,55,121,7.11,Clay
14,140,28,9.31,Alkaline
9,40,205,4.84,Acidic
40,59,11,4.79,Acidic
72,40,10,3.84,Acidic
51,60,122,7.45,Clay
127,40,165,6.79,Clay
27,93,89,4.17,Acidic
64,66,114,5.69,Sandy
16,113,170,4.57,Acidic
94,91,176,5.49,Acidic
137,68,149,9.21,Alkaline
62,61,35,7.6,Alkaline
37,117,169,3.55,Acidic
69,74,143,5.02,Acidic
103,24,137,3.56,Acidic
52,58,68,7.79,Alkaline
118,5,80,6.32,Sandy
73,94,135,9.46,Alkaline
53,142,60,7.9,Alkaline
19,117,67,6.61,Sandy
78,17,109,8.33,Alkaline
30,114,42,7.73,Alkaline
134,95,58,4.96,Acidic
57,99,134,6.68,Clay
104,47,6,6.84,Sandy
9,142,144,6.21,Clay
9,78,44,4.58,Acidic
38,18,6,4.84,Acidic
36,103,109,5.19,Acidic
118,113,129,3.56,Acidic
66,100,84,9.0,Alkaline
42,62,189,7.62,Alkaline
51,140,51,7.64,Alkaline
100,100,168,6.93,Loamy
55,42,136,7.64,Alkaline
75,68,156,9.39,Alkaline
67,13,95,5.81,Sandy
136,125,105,7.78,Alkaline
105,36,194,5.66,Clay
124,15,134,8.63,Alkaline
91,109,19,8.65,Alkaline
22,86,53,8.91,Alkaline
108,41,116,3.53,Acidic
60,86,39,5.29,Acidic
43,16,120,4.3,Acidic
15,8,98,6.22,Sandy
21,47,179,6.47,Clay
56,55,28,5.04,Acidic
61,9,64,7.84,Alkaline
106,138,81,5.12,Acidic
70,91,52,8.62,Alkaline
89,110,155,4.57,Acidic
71,60,144,5.7,Clay
69,114,45,7.23,Sandy
29,72,161,7.13,Clay
102,100,202,3.97,Acidic
31,48,183,8.58,Alkaline
85,94,132,7.09,Clay
56,46,155,8.72,Alkaline
108,143,35,8.71,Alkaline
8,77,153,6.78,Clay
30,15,28,8.96,Alkaline
70,62,204,8.59,Alkaline
136,132,13,9.25,Alkaline
12,25,154,8.6,Alkaline
130,25,136,8.43,Alkaline
34,76,81,6.32,Sandy
20,133,135,4.77,Acidic
63,106,124,8.96,Alkaline
94,17,160,7.84,Alkaline
33,77,94,5.19,Acidic
120,10,121,5.55,Clay
14,116,114,7.62,Alkaline
119,21,125,6.37,Clay
95,77,102,3.99,Acidic
5,16,19,4.35,Acidic
108,90,140,7.97,Alkaline
96,126,180,5.47,Acidic
31,74,56,6.55,Sandy
82,112,59,8.1,Alkaline
117,56,41,8.01,Alkaline
78,41,136,4.5,Acidic
77,121,59,4.09,Acidic
106,7,16,7.05,Sandy
125,12,151,7.95,Alkaline
14,142,189,4.39,Acidic
133,51,41,5.73,Loamy
72,68,11,8.72,Alkaline
100,46,59,9.17,Alkaline
97,47,32,6.22,Sandy
25,129,41,3.98,Acidic
91,141,193,5.05,Acidic
124,18,79,4.9,Acidic
72,95,118,4.93,Acidic
122,136,171,6.46,Loamy
52,6,110,7.0,Sandy
77,119,155,4.24,Acidic
91,5,184,8.84,Alkaline
87,79,114,7.22,Sandy
12,69,88,7.08,Sandy
42,129,15,9.42,Alkaline
75,139,70,7.27,Sandy
50,70,17,9.07,Alkaline
18,76,173,5.22,Acidic
121,120,181,4.94,Acidic
23,125,19,6.6,Sandy
25,51,60,6.55,Sandy
119,94,186,4.86,Acidic
81,44,163,7.7,Alkaline
99,46,193,3.68,Acidic
16,39,190,7.64,Alkaline
67,45,192,6.24,Clay
43,89,57,7.63,Alkaline
60,128,65,6.36,Sandy
122,61,132,9.36,Alkaline
92,42,46,5.51,Sandy
73,100,33,9.4,Alkaline
66,140,159,3.89,Acidic
110,67,48,7.6,Alkaline
1,91,137,6.23,Clay
88,136,184,8.43,Alkaline
25,56,117,8.24,Alkaline
98,42,110,8.3,Alkaline
26,91,185,4.07,Acidic
88,9,184,8.43,Alkaline
0,124,42,4.78,Acidic
102,74,176,3.65,Acidic
130,117,185,4.81,Acidic
40,28,119,6.38,Sandy
50,90,134,7.95,Alkaline
14,30,113,4.81,Acidic
7,7,186,4.18,Acidic
37,6,88,7.38,Sandy
113,96,167,9.4,Alkaline
82,6,50,7.11,Sandy
55,75,204,7.65,Alkaline
102,8,96,6.87,Sandy
137,42,109,8.19,Alkaline
101,107,187,9.35,Alkaline
77,74,76,6.76,Sandy
82,56,143,6.0,Clay
29,35,33,8.66,Alkaline
4,40,201,9.32,Alkaline
118,137,195,4.28,Acidic
30,119,51,6.97,Sandy
22,78,115,8.25,Alkaline
47,22,11,6.7,Sandy
108,19,121,5.96,Clay
39,101,68,7.43,Sandy
5,9,86,5.12,Acidic
37,41,68,5.59,Sandy
99,108,96,9.45,Alkaline
26,90,16,7.32,Sandy
68,19,16,8.74,Alkaline
56,21,40,8.35,Alkaline
16,55,33,7.41,Sandy
70,49,143,8.54,Alkaline
46,126,185,5.22,Acidic
78,86,202,7.32,Clay
109,139,89,7.04,Loamy
12,93,78,7.23,Sandy
138,105,51,4.51,Acidic
123,44,165,5.16,Acidic
108,47,85,5.22,Acidic
89,77,199,7.11,Clay
85,27,125,9.34,Alkaline
91,99,47,9.22,Alkaline
23,21,150,4.86,Acidic
72,116,78,5.33,Acidic
3,107,57,3.72,Acidic
112,62,43,5.89,Loamy
45,90,111,8.51,Alkaline
17,39,204,8.99,Alkaline
42,34,166,4.92,Acidic
92,108,41,5.09,Acidic
102,126,173,4.83,Acidic
123,138,101,5.6,Loamy
9,38,53,8.33,Alkaline
72,60,132,7.38,Clay
30,29,14,8.22,Alkaline
59,119,44,7.0,Sandy
130,17,150,5.05,Acidic
117,67,157,4.87,Acidic
13,106,110,3.55,Acidic
1,126,45,8.19,Alkaline
23,124,168,8.58,Alkaline
63,137,6,8.11,Alkaline
99,15,181,3.95,Acidic
113,113,199,8.07,Alkaline
23,108,57,3.77,Acidic
90,115,151,4.13,Acidic
25,73,30,6.14,Sandy
64,106,58,6.36,Sandy
119,6,55,8.4,Alkaline
3,41,157,7.58,Alkaline
0,122,118,4.42,Acidic
49,53,21,4.86,Acidic
109,79,124,5.21,Acidic
138,79,193,4.24,Acidic
73,38,50,5.23,Acidic
61,62,59,7.87,Alkaline
80,115,54,4.95,Acidic
55,100,79,8.51,Alkaline
110,64,15,6.32,Loamy
20,144,144,5.44,Acidic
140,36,172,5.97,Clay
8,136,52,7.76,Alkaline
138,110,125,6.6,Loamy
69,37,60,3.54,Acidic
128,47,12,9.03,Alkaline
117,116,18,3.9,Acidic
55,111,118,9.13,Alkaline
30,13,188,3.67,Acidic
36,118,58,8.13,Alkaline
90,129,21,6.71,Sandy
113,24,177,6.53,Clay
127,45,137,3.94,Acidic
121,48,135,4.93,Acidic
68,129,13,8.17,Alkaline
35,39,126,8.85,Alkaline
31,62,118,6.67,Sandy
63,52,24,5.62,Sandy
47,62,87,3.86,Acidic
80,105,25,7.59,Alkaline
59,61,37,5.17,Acidic
140,68,137,3.83,Acidic
0,66,156,7.5,Clay
64,87,195,6.41,Clay
32,117,30,3.57,Acidic
37,116,112,4.17,Acidic
24,66,93,7.7,Alkaline
58,98,96,3.88,Acidic
100,89,37,8.7,Alkaline
126,30,22,5.37,Acidic
40,125,22,4.03,Acidic
56,54,170,8.06,Alkaline
47,119,37,6.65,Sandy
71,40,31,5.34,Acidic
55,37,53,5.94,Sandy
64,127,182,3.63,Acidic
11,104,147,7.48,Clay
68,72,112,5.69,Sandy
133,77,184,7.78,Alkaline
88,140,72,7.27,Sandy
24,27,103,7.41,Sandy
0,74,23,8.26,Alkaline
130,59,29,7.29,Loamy
48,114,108,6.01,Sandy
59,13,80,5.84,Sandy
1,133,80,4.22,Acidic
72,112,110,8.18,Alkaline
109,137,157,8.07,Alkaline
60,72,37,4.98,Acidic
16,70,192,8.68,Alkaline
48,57,41,7.03,Sandy
75,132,96,6.37,Sandy
130,69,128,3.6,Acidic
42,68,47,5.8,Sandy
56,72,130,7.34,Clay
49,66,13,4.04,Acidic
36,85,18,6.26,Sandy
45,75,135,9.46,Alkaline
14,118,73,7.8,Alkaline
79,56,188,6.78,Clay
138,120,30,6.7,Loamy
23,129,131,3.76,Acidic
124,131,57,9.24,Alkaline
117,69,45,9.07,Alkaline
79,134,86,7.59,Alkaline
93,26,106,4.09,Acidic
64,80,25,4.75,Acidic
87,98,125,4.6,Acidic
87,75,43,6.62,Sandy
125,110,155,4.75,Acidic
88,54,190,7.67,Alkaline
60,106,73,6.77,Sandy
14,117,79,3.61,Acidic
93,34,161,7.96,Alkaline
50,16,66,4.63,Acidic
26,86,185,8.45,Alkaline
73,50,49,5.63,Sandy
60,134,31,5.53,Sandy
30,101,120,3.57,Acidic
11,84,166,9.43,Alkaline
45,58,146,7.17,Clay
31,39,45,6.04,Sandy
60,56,110,4.08,Acidic
45,88,78,7.69,Alkaline
84,76,64,5.2,Acidic
79,30,46,9.43,Alkaline
134,65,126,9.2,Alkaline
3,41,183,7.91,Alkaline
51,99,15,9.33,Alkaline
111,15,167,4.13,Acidic
35,45,151,5.18,Acidic
53,137,122,5.02,Acidic
118,70,69,3.93,Acidic
126,145,193,9.33,Alkaline
16,73,51,3.86,Acidic
74,63,18,8.64,Alkaline
104,70,71,8.11,Alkaline
116,72,184,5.76,Loamy
42,16,113,3.61,Acidic
111,72,164,3.54,Acidic
114,77,14,4.72,Acidic
26,10,128,6.46,Clay
36,19,21,6.25,Sandy
45,46,172,7.01,Clay
112,35,200,8.13,Alkaline
34,10,195,5.76,Clay
131,37,147,4.46,Acidic
79,25,101,8.3,Alkaline
79,128,171,5.5,Clay
120,98,61,5.22,Acidic
121,104,142,8.09,Alkaline
80,59,75,9.1,Alkaline
118,68,101,8.99,Alkaline
57,90,21,4.32,Acidic
62,26,80,6.52,Sandy
99,64,21,4.06,Acidic
65,108,115,9.27,Alkaline
84,143,124,4.79,Acidic
136,51,148,4.68,Acidic
122,81,123,8.83,Alkaline
1,22,82,9.31,Alkaline
105,26,7,7.69,Alkaline
107,42,112,4.23,Acidic
71,29,55,6.42,Sandy
125,36,118,8.4,Alkaline
56,17,98,6.93,Sandy
80,15,178,4.3,Acidic
140,17,120,4.53,Acidic
18,101,187,8.68,Alkaline
6,105,109,6.66,Sandy
136,42,103,7.74,Alkaline
53,5,158,5.74,Clay
103,43,80,6.69,Sandy
85,31,163,9.36,Alkaline
81,40,85,5.48,Acidic
60,35,76,7.55,Alkaline
86,131,151,4.54,Acidic
1,10,200,4.23,Acidic
30,93,147,8.2,Alkaline
32,35,115,8.56,Alkaline
79,104,62,7.51,Alkaline
10,77,82,4.45,Acidic
127,50,162,4.94,Acidic
134,101,52,8.97,Alkaline
127,5,60,5.23,Acidic
30,61,46,8.41,Alkaline
125,13,28,5.22,Acidic
46,9,114,9.14,Alkaline
106,83,56,8.99,Alkaline
18,118,175,3.76,Acidic
80,13,38,8.12,Alkaline
122,28,192,4.52,Acidic
133,107,7,4.79,Acidic
106,64,72,6.26,Loamy
48,90,143,6.96,Clay
72,120,145,5.45,Acidic
49,88,54,6.95,Sandy
80,94,86,4.52,Acidic
94,93,23,3.63,Acidic
11,124,48,6.93,Sandy
22,10,165,6.6,Clay
53,56,170,7.64,Alkaline
117,144,7,7.4,Loamy
58,23,117,8.88,Alkaline
2,79,69,6.26,Sandy
57,134,167,3.55,Acidic
56,59,168,7.28,Clay
89,19,170,7.55,Alkaline
54,104,43,6.63,Sandy
44,73,157,7.64,Alkaline
0,47,68,5.44,Acidic
20,21,108,4.39,Acidic
20,102,17,7.49,Sandy
51,120,72,4.97,Acidic
81,78,74,6.24,Sandy
66,120,79,6.45,Sandy
112,34,5,6.36,Sandy
43,71,204,7.09,Clay
9,55,186,3.68,Acidic
63,64,102,9.44,Alkaline
68,7,108,7.8,Alkaline
67,108,120,6.05,Sandy
27,9,141,4.65,Acidic
115,32,168,3.98,Acidic
50,112,117,7.53,Alkaline
3,143,107,5.4,Acidic
78,105,41,4.88,Acidic
16,80,110,5.78,Sandy
107,19,191,7.06,Clay
73,87,112,7.53,Alkaline
22,52,25,7.37,Sandy
17,131,152,8.68,Alkaline
128,50,133,4.81,Acidic
34,32,191,7.32,Clay
63,11,32,4.11,Acidic
58,98,203,6.79,Clay
0,86,188,7.0,Clay
130,92,112,4.8,Acidic
66,138,13,5.85,Sandy
36,72,197,8.46,Alkaline
28,59,168,4.39,Acidic
88,122,166,6.11,Clay
99,138,36,9.1,Alkaline
121,112,70,6.52,Loamy
89,55,104,7.85,Alkaline
131,42,157,8.46,Alkaline
13,143,183,4.72,Acidic
130,97,195,4.81,Acidic
84,24,177,8.05,Alkaline
20,14,158,8.02,Alkaline
25,30,25,3.86,Acidic
40,52,86,5.43,Acidic
121,95,183,5.89,Loamy
37,118,28,8.47,Alkaline
87,18,115,6.03,Sandy
10,104,96,9.06,Alkaline
28,16,16,9.48,Alkaline
59,120,143,8.18,Alkaline
60,127,159,7.5,Clay
21,27,27,5.85,Sandy
77,89,165,3.9,Acidic
112,76,96,6.94,Loamy
122,126,170,5.67,Loamy
43,141,187,5.61,Clay
96,99,202,7.63,Alkaline
76,29,174,6.28,Clay
139,21,127,8.01,Alkaline
54,33,161,5.89,Clay
50,71,38,4.41,Acidic
101,89,129,6.27,Loamy
28,61,61,9.21,Alkaline
68,76,7,8.31,Alkaline
79,18,10,4.73,Acidic
30,43,52,5.85,Sandy
111,22,106,9.07,Alkaline
45,79,196,4.24,Acidic
96,106,124,5.02,Acidic
51,24,17,5.07,Acidic
137,121,40,6.93,Loamy
73,121,74,5.96,Sandy
40,8,37,3.98,Acidic
76,88,109,7.28,Sandy
130,143,61,4.09,Acidic
113,118,59,7.14,Loamy
51,69,111,6.54,Sandy
86,48,145,6.46,Clay
108,122,55,3.9,Acidic
140,104,96,7.34,Loamy
68,22,57,6.09,Sandy
119,132,40,5.97,Loamy
66,42,137,7.08,Clay
60,140,123,7.14,Clay
70,108,29,3.59,Acidic
29,17,85,4.25,Acidic
95,59,41,4.92,Acidic
55,92,23,7.57,Alkaline
52,89,39,6.96,Sandy
6,113,111,8.05,Alkaline
96,47,166,7.94,Alkaline
112,136,58,8.62,Alkaline
124,75,178,5.76,Loamy
131,16,10,5.57,Sandy
120,63,133,8.49,Alkaline
37,48,203,4.93,Acidic
121,20,38,6.27,Sandy
25,138,60,4.67,Acidic
128,18,101,8.98,Alkaline
3,119,30,5.95,Sandy
38,116,174,4.77,Acidic
53,127,95,7.65,Alkaline
32,62,42,4.97,Acidic
19,124,158,9.16,Alkaline
15,39,63,5.71,Sandy
126,14,131,7.49,Clay
86,85,28,5.57,Sandy
81,48,115,8.34,Alkaline
61,75,25,8.88,Alkaline
30,22,64,8.23,Alkaline
41,87,94,8.59,Alkaline
11,83,152,4.11,Acidic
64,90,10,9.04,Alkaline
72,46,199,7.25,Clay
130,128,14,8.72,Alkaline
114,34,144,7.61,Alkaline
136,24,101,4.71,Acidic
105,130,154,7.16,Loamy
15,100,194,4.05,Acidic
77,129,193,7.67,Alkaline
124,46,84,5.95,Sandy
130,93,21,4.41,Acidic
140,91,142,9.38,Alkaline
129,9,144,8.91,Alkaline
111,54,87,8.86,Alkaline
126,45,44,8.23,Alkaline
20,98,155,7.65,Alkaline
88,61,172,7.43,Clay
46,139,78,4.14,Acidic
84,137,78,8.9,Alkaline
127,55,54,8.79,Alkaline
71,110,14,7.99,Alkaline
41,140,107,9.06,Alkaline
8,15,98,6.82,Sandy
24,102,136,6.19,Clay
1,103,133,9.31,Alkaline
18,143,47,6.28,Sandy
19,100,87,7.35,Sandy
69,110,137,5.74,Clay
16,5,108,7.32,Sandy
123,50,38,7.82,Alkaline
88,92,198,7.25,Clay
93,26,28,6.59,Sandy
83,7,146,5.3,Acidic
130,134,45,7.36,Loamy
86,65,174,8.95,Alkaline
50,42,17,3.54,Acidic
81,50,161,4.3,Acidic
7,138,197,4.22,Acidic
120,45,178,9.04,Alkaline
3,143,166,7.48,Clay
85,114,195,9.21,Alkaline
127,45,136,7.0,Clay
109,61,32,6.27,Loamy
98,127,87,8.25,Alkaline
36,90,133,4.47,Acidic
70,67,168,5.79,Clay
32,43,111,6.3,Sandy
30,142,17,5.29,Acidic
124,31,118,5.73,Sandy
11,85,110,3.97,Acidic
10,111,9,4.69,Acidic
87,40,101,5.51,Sandy
71,89,18,8.28,Alkaline
31,32,84,4.59,Acidic
56,20,124,5.58,Clay
85,39,164,3.89,Acidic
18,103,182,6.84,Clay
115,126,159,7.17,Loamy
13,27,39,8.69,Alkaline
32,123,7,8.41,Alkaline
9,67,8,5.21,Acidic
79,74,139,4.32,Acidic
63,84,135,4.44,Acidic
67,63,85,9.31,Alkaline
91,21,115,7.54,Alkaline
124,43,63,3.76,Acidic
79,81,78,4.32,Acidic
58,96,133,6.41,Clay
96,28,160,4.75,Acidic
18,92,63,8.32,Alkaline
21,48,122,6.94,Clay
8,40,185,7.18,Clay
8,103,142,6.28,Clay
26,74,203,5.04,Acidic
16,126,107,7.04,Sandy
44,128,135,7.8,Alkaline
7,84,139,5.73,Clay
124,49,13,6.53,Sandy
122,143,103,8.54,Alkaline
32,35,201,4.39,Acidic
0,89,145,6.77,Clay
5,49,172,5.59,Clay
40,119,118,7.72,Alkaline
4,71,66,3.61,Acidic
